Subject,Location,Description,startDate,endDate,startTime,endTime
Kim Noble @ ALLIANZ STAGE,ALLIANZ STAGE,Kim Noble @ ALLIANZ STAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,14:00:00,15:00:00
Halbsteiv @ ALLIANZ STAGE,ALLIANZ STAGE,Halbsteiv @ ALLIANZ STAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,16:30:00,17:30:00
Patz & Grimbard @ ALLIANZ STAGE,ALLIANZ STAGE,Patz & Grimbard @ ALLIANZ STAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,17:30:00,18:30:00
Jay#Paul  @ ALLIANZ STAGE,ALLIANZ STAGE,Jay#Paul  @ ALLIANZ STAGE (Airbeat-Day: Thursday),2024-07-11,2024-07-11,18:30:00,19:30:00
Burlesque @ ALLIANZ STAGE,ALLIANZ STAGE,Burlesque @ ALLIANZ STAGE (Airbeat-Day: Friday),2024-07-12,2024-07-12,14:00:00,15:00:00
Force @ ALLIANZ STAGE,ALLIANZ STAGE,Force @ ALLIANZ STAGE (Airbeat-Day: Friday),2024-07-12,2024-07-12,16:30:00,17:30:00
Putti0815 @ ALLIANZ STAGE,ALLIANZ STAGE,Putti0815 @ ALLIANZ STAGE (Airbeat-Day: Friday),2024-07-12,2024-07-12,17:30:00,18:30:00
Buhold  @ ALLIANZ STAGE,ALLIANZ STAGE,Buhold  @ ALLIANZ STAGE (Airbeat-Day: Friday),2024-07-12,2024-07-12,18:30:00,19:30:00
U-Beats @ ALLIANZ STAGE,ALLIANZ STAGE,U-Beats @ ALLIANZ STAGE (Airbeat-Day: Saturday),2024-07-13,2024-07-13,14:00:00,15:00:00
Jo'L @ ALLIANZ STAGE,ALLIANZ STAGE,Jo'L @ ALLIANZ STAGE (Airbeat-Day: Saturday),2024-07-13,2024-07-13,16:30:00,17:30:00
Rob.Bee @ ALLIANZ STAGE,ALLIANZ STAGE,Rob.Bee @ ALLIANZ STAGE (Airbeat-Day: Saturday),2024-07-13,2024-07-13,17:30:00,18:30:00
AlphaBeat @ ALLIANZ STAGE,ALLIANZ STAGE,AlphaBeat @ ALLIANZ STAGE (Airbeat-Day: Saturday),2024-07-13,2024-07-13,18:30:00,19:30:00
